key,flaming,smoldering,residual,total
gorup-21;very dry;moderate;very dry,56372014.59596135,13935246.067944061,9382814.046301078,79690074.7102065
gorup-21;very dry;moderate;dry,56372014.59596135,13935246.067944061,9382814.046301078,79690074.7102065
gorup-21;very dry;moderate;moderate,56372014.59596135,13935246.067944061,9382814.046301078,79690074.7102065
gorup-21;very dry;moderate;moist,56372014.59596135,13935246.067944061,9382814.046301078,79690074.7102065
gorup-21;very dry;moderate;wet,56372014.59596135,13935246.067944061,9382814.046301078,79690074.7102065
gorup-21;very dry;moderate;very wet,56372014.59596135,13935246.067944061,9382814.046301078,79690074.7102065
gorup-21;very dry;moist;very dry,55242317.38112673,13810048.740847502,9382814.046301078,78435180.16827533
gorup-21;very dry;moist;dry,55242317.38112673,13810048.740847502,9382814.046301078,78435180.16827533
gorup-21;very dry;moist;moderate,55242317.38112673,13810048.740847502,9382814.046301078,78435180.16827533
gorup-21;very dry;moist;moist,55242317.38112673,13810048.740847502,9382814.046301078,78435180.16827533
gorup-21;very dry;moist;wet,55242317.38112673,13810048.740847502,9382814.046301078,78435180.16827533
gorup-21;very dry;moist;very wet,55242317.38112673,13810048.740847502,9382814.046301078,78435180.16827533
gorup-21;very dry;wet;very dry,53886680.7233252,13659811.948331632,9382814.046301078,76929306.71795791
gorup-21;very dry;wet;dry,53886680.7233252,13659811.948331632,9382814.046301078,76929306.71795791
gorup-21;very dry;wet;moderate,53886680.7233252,13659811.948331632,9382814.046301078,76929306.71795791
gorup-21;very dry;wet;moist,53886680.7233252,13659811.948331632,9382814.046301078,76929306.71795791
gorup-21;very dry;wet;wet,53886680.7233252,13659811.948331632,9382814.046301078,76929306.71795791
gorup-21;very dry;wet;very wet,53886680.7233252,13659811.948331632,9382814.046301078,76929306.71795791
gorup-21;very dry;very wet;very dry,52393735.04046519,13494358.049233736,9382814.046301078,75270907.136
gorup-21;very dry;very wet;dry,52393735.04046519,13494358.049233736,9382814.046301078,75270907.136
gorup-21;very dry;very wet;moderate,52393735.04046519,13494358.049233736,9382814.046301078,75270907.136
gorup-21;very dry;very wet;moist,52393735.04046519,13494358.049233736,9382814.046301078,75270907.136
gorup-21;very dry;very wet;wet,52393735.04046519,13494358.049233736,9382814.046301078,75270907.136
gorup-21;very dry;very wet;very wet,52393735.04046519,13494358.049233736,9382814.046301078,75270907.136
gorup-21;dry;very dry;very dry,57669504.94906991,13353645.945821548,8590560.447563607,79613711.34245506
gorup-21;dry;very dry;dry,57669504.94906991,13353645.945821548,8590560.447563607,79613711.34245506
gorup-21;dry;very dry;moderate,57669504.94906991,13353645.945821548,8590560.447563607,79613711.34245506
gorup-21;dry;very dry;moist,57669504.94906991,13353645.945821548,8590560.447563607,79613711.34245506
gorup-21;dry;very dry;wet,57669504.94906991,13353645.945821548,8590560.447563607,79613711.34245506
gorup-21;dry;very dry;very wet,57669504.94906991,13353645.945821548,8590560.447563607,79613711.34245506
gorup-21;dry;dry;very dry,56765747.17720222,13253488.084144302,8590560.447563607,78609795.70891011
gorup-21;dry;dry;dry,56765747.17720222,13253488.084144302,8590560.447563607,78609795.70891011
gorup-21;dry;dry;moderate,56765747.17720222,13253488.084144302,8590560.447563607,78609795.70891011
gorup-21;dry;dry;moist,56765747.17720222,13253488.084144302,8590560.447563607,78609795.70891011
gorup-21;dry;dry;wet,56765747.17720222,13253488.084144302,8590560.447563607,78609795.70891011
gorup-21;dry;dry;very wet,56765747.17720222,13253488.084144302,8590560.447563607,78609795.70891011
gorup-21;dry;moderate;very dry,55184171.076433755,13078211.826209119,8590560.447563607,76852943.35020648
gorup-21;dry;moderate;dry,55184171.076433755,13078211.826209119,8590560.447563607,76852943.35020648
gorup-21;dry;moderate;moderate,55184171.076433755,13078211.826209119,8590560.447563607,76852943.35020648
gorup-21;dry;moderate;moist,55184171.076433755,13078211.826209119,8590560.447563607,76852943.35020648
gorup-21;dry;moderate;wet,55184171.076433755,13078211.826209119,8590560.447563607,76852943.35020648
gorup-21;dry;moderate;very wet,55184171.076433755,13078211.826209119,8590560.447563607,76852943.35020648
gorup-21;dry;moist;very dry,54054473.86159914,12953014.499112561,8590560.447563607,75598048.80827531
