key,flaming,smoldering,residual,total
rx;natural;western;spring;group-1;moderate;dry;dry,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moderate;dry;moderate,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moderate;dry;moist,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moderate;dry;wet,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moderate;dry;very wet,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moderate;moderate;very dry,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moderate;moderate;dry,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moderate;moderate;moderate,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moderate;moderate;moist,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moderate;moderate;wet,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moderate;moderate;very wet,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moderate;moist;very dry,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moderate;moist;dry,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moderate;moist;moderate,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moderate;moist;moist,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moderate;moist;wet,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moderate;moist;very wet,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moderate;wet;very dry,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moderate;wet;dry,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moderate;wet;moderate,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moderate;wet;moist,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moderate;wet;wet,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moderate;wet;very wet,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moderate;very wet;very dry,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moderate;very wet;dry,[0.],[0.],[0.],[0.]
